,comm_date,author,author_id,likes,comment,video_id
0,2024-12-04T08:31:37Z,@sgt.rsnd0101,UCAwQ3c1krgWg9rHoSc7Jj3w,0,"omm Ded, nikahin saja Azka dgn Nada... Slesai bola2...",gp0o0THVR6M
1,2024-12-04T08:29:01Z,@LindaIlyas-t8w,UCjbd7WnF1IBK17cRDULOJ_g,0,Semoga kita semua d jauhkan di berikan kesehatan. Aamiin ya Rabbal Alamiin,gp0o0THVR6M
2,2024-12-04T08:23:43Z,@dianaadianaa7115,UC_uucWEbfjou8vYUzcO93sg,0,Nada makin cantik makin fres dgn tampilan skrg❤,gp0o0THVR6M
3,2024-12-04T08:23:06Z,@nays6-t1w,UC84p9A7pBIeF3b_R8_ProDg,0,"Masha Allah,, nada punya ayah dan papah yg kerennnn 😇😇😇",gp0o0THVR6M
4,2024-12-04T08:22:30Z,@anastasianovi9385,UCxSvgcyhW8R5uFJtnji0CiQ,0,"jadi sedih n nangis banyak harapan n makna ny..
sehat slalu,Tuhan memberkati",gp0o0THVR6M
5,2024-12-04T08:19:41Z,@Kucingoren66,UCtzBj5RY7MZkpbZDS9egGxA,0,Senang liat nya,gp0o0THVR6M
6,2024-12-04T08:19:18Z,@NirmalaaAntule,UCtTpA8VeJt9LqHtZ4BRw_FA,0,Udh siap dnger nyanyi malahh sjsyshsysjwnsysywubwujw ladida ladida jshsgsyshsu😂,gp0o0THVR6M
7,2024-12-04T08:19:01Z,@Rohaimah-wq5pf,UCoh2rX56Rjhq-EHJdCMMlaQ,1,"Alhamdulillah ,Nada di adopsi sama orang baik hati ,tegas,dermawan,berpandangan luas ,berakhlak baik,semoga sukses,berkah ,bahagia dunia akhirat semuanya.Aamiin....❤",gp0o0THVR6M
8,2024-12-04T08:18:43Z,@ms_riyant4465,UCwHPrLbCupVave-F2qsNzPg,0,Sehat terus om beben...,gp0o0THVR6M
9,2024-12-04T08:17:22Z,@tjahjowatimargaretha6500,UCAey_A121DQHR9QLbgWhyMw,0,Share 🙏🏻🙏🏻🇮🇩🇮🇩,gp0o0THVR6M
10,2024-12-04T08:15:39Z,@PelautLokal,UCXLFgF06Ftf80P6pgghWwiQ,0,Pengalaman. Waktu itu adik aku malam nya kepala terbentur ke tanah krn terjatuh sampai dia pusing & mual sampai muntah2.. pas pagi2 nya setelah bangun sari tidur dia lupa kejadian semalam kalau kepalanya terbentur dan muntah2,gp0o0THVR6M
11,2024-12-04T08:12:41Z,@witrielpha2331,UCmF6QEpksPC3B_pR1QeJvcg,0,Allah maha baik memberikan  yang  terbaik  buat  hamba-Nya. Hanya untuk  orang-orang  yang bisa  bersyukur dan  berfikir,gp0o0THVR6M
12,2024-12-04T08:07:19Z,@assilvieeddestyaal-ikhsani,UCABJ4BN9KyUvFqtKkNpBVAw,2,Ada ga si yang salting sama ke-protektif-an azka dg nada? Aaaaa😂,gp0o0THVR6M
13,2024-12-04T08:07:01Z,@tiarakusumadewi1789,UCHFVUZYSRIz5xr4wDMydDxw,0,Seneng nontonnya,gp0o0THVR6M
14,2024-12-04T08:06:18Z,@cakechoco-n6r,UCnaMzeoVM747wATmTe537pg,0,"wah masyaAllah bgt ayahnya nada bukan org yg aji mumpung.. keren bgtt :"""""""""") semoga diberikan kesehatan, keberkahan dan kebahagiaan terus ayahnya nadaaa..",gp0o0THVR6M
15,2024-12-04T08:06:12Z,@KimJaejoong-s2j,UCLSVtHhf3ZhhYmVwYSjFKCg,0,"om ded sama densu kayanya akhir2 ini datengin orang2 yg penerima donasi tapi paham adab dan moral ya... sengaja buat menyindir kah? 🤭
meski ini soal common sense aja dan harusnya orang waras yg berakal jg paham, semoga jadi edukasi jg bagi kita semua bahwa selayaknya kita jg harus tau bagaimana menempatkan diri kalau kita menerima bantuan dr orang lain",gp0o0THVR6M
16,2024-12-04T08:01:58Z,@nayrahilmian.1514,UC0yToWimoglOwyJfZ4hYywA,0,Alhamdulilah nada beruntung di angkat anak sama om ded,gp0o0THVR6M
17,2024-12-04T07:59:03Z,@sukmainsania1757,UC8CiO4yhfV6U1ANnwCZpkfQ,1,"Beruntung sekali kamu nada, punya ayah sama papa, sepanajng potcas nangis ingat alm bapak😭😭😭",gp0o0THVR6M
18,2024-12-04T07:58:48Z,@AnisaAlya-d4r,UC7uu9qoLDr6r9N18l6LtHkg,0,Podcast terbaik.. 😭😭 selamat dunia akhirat.. ❤❤,gp0o0THVR6M
19,2024-12-04T07:57:28Z,@arieffudin6143,UCvNyby6mmUmhmvEPxUChS6A,0,Orang2 hebat semua❤,gp0o0THVR6M
20,2024-12-04T07:55:00Z,@tyasanawati-gc5yh,UCpBgepz1yo51-15MXq6jscw,0,Bahagianya Nada punya 2 orang ayah yg baik dan tau bersyukur...,gp0o0THVR6M
21,2024-12-04T07:54:18Z,@yamzangemoy,UCWo9BGm6F2GUARipU7u2eiQ,2,Waaah senengnya jd Nada punya ayah n papa yg sangat baik🎉🎉🎉,gp0o0THVR6M
22,2024-12-04T07:51:48Z,@00-______-00,UCo77nnlP6sz7wytOXvV_-uQ,0,pasti nama ayahnya nada bukan agus,gp0o0THVR6M
23,2024-12-04T07:50:25Z,@ianfachri14,UCHRDWc_0OC9VOiEghUvJAlw,0,Undang tukang es yg viral dong,gp0o0THVR6M
24,2024-12-04T07:49:57Z,@Momszaleeka,UCIofsx64RVggMymHhKfp_tg,0,kereeen bgd sama keluarga ini masya Allah,gp0o0THVR6M
25,2024-12-04T07:43:08Z,@bronsonpancita2216,UCrGCW0tY1pMoQllhg9_n8fQ,0,"Mirip, wajah nada dg ayah kandungnya..😊",gp0o0THVR6M
26,2024-12-04T07:41:10Z,@elfaiz5962,UCeoVqLqJRiIs4N_EKQr9opA,0,"masya alloh,sesayang itu azka ke nada❤ itu berkat didikan om dedy",gp0o0THVR6M
27,2024-12-04T07:38:54Z,@superman21128,UC9pzm0rxfjmv_fxnab97sCg,0,Sosok ayah yg tangguh dan papa yg bijak beruntung nada dibesarkan oleh pria pria yg tepat tingal bagaimana kelak nada berbakti ke sosok pria pria tersebut btw pilihan lagu yg sangat keren untuk di tampilkan,gp0o0THVR6M
