,Unnamed: 0.1,Unnamed: 0,comment
0,0,0,omm ded nikahin saja azka dgn nada slesai bola2
1,1,1,semoga kita semua d jauhkan di berikan kesehatan aamiin ya rabbal alamiin
2,2,2,nada makin cantik makin fres dgn tampilan skrg
3,3,3,masha allah nada punya ayah dan papah yg kerennnn 
4,4,4,jadi sedih n nangis banyak harapan n makna nysehat slalutuhan memberkati
5,5,5,senang liat nya
6,6,6,udh siap dnger nyanyi malahh sjsyshsysjwnsysywubwujw ladida ladida jshsgsyshsu
7,7,7,alhamdulillah nada di adopsi sama orang baik hati tegasdermawanberpandangan luas berakhlak baiksemoga suksesberkah bahagia dunia akhirat semuanyaaamiin
8,8,8,sehat terus om beben
9,9,9,share 
10,10,10,pengalaman waktu itu adik aku malam nya kepala terbentur ke tanah krn terjatuh sampai dia pusing  mual sampai muntah2 pas pagi2 nya setelah bangun sari tidur dia lupa kejadian semalam kalau kepalanya terbentur dan muntah2
11,11,11,allah maha baik memberikan  yang  terbaik  buat  hambanya hanya untuk  orangorang  yang bisa  bersyukur dan  berfikir
12,12,12,ada ga si yang salting sama keprotektifan azka dg nada aaaaa
13,13,13,seneng nontonnya
14,14,14,wah masyaallah bgt ayahnya nada bukan org yg aji mumpung keren bgtt  semoga diberikan kesehatan keberkahan dan kebahagiaan terus ayahnya nadaaa
15,15,15,om ded sama densu kayanya akhir2 ini datengin orang2 yg penerima donasi tapi paham adab dan moral ya sengaja buat menyindir kah meski ini soal common sense aja dan harusnya orang waras yg berakal jg paham semoga jadi edukasi jg bagi kita semua bahwa selayaknya kita jg harus tau bagaimana menempatkan diri kalau kita menerima bantuan dr orang lain
16,16,16,alhamdulilah nada beruntung di angkat anak sama om ded
17,17,17,beruntung sekali kamu nada punya ayah sama papa sepanajng potcas nangis ingat alm bapak
18,18,18,podcast terbaik  selamat dunia akhirat 
19,19,19,orang2 hebat semua
20,20,20,bahagianya nada punya 2 orang ayah yg baik dan tau bersyukur
21,21,21,waaah senengnya jd nada punya ayah n papa yg sangat baik
22,22,22,pasti nama ayahnya nada bukan agus
23,23,23,undang tukang es yg viral dong
24,24,24,kereeen bgd sama keluarga ini masya allah
25,25,25,mirip wajah nada dg ayah kandungnya
26,26,26,masya allohsesayang itu azka ke nada itu berkat didikan om dedy
27,27,27,sosok ayah yg tangguh dan papa yg bijak beruntung nada dibesarkan oleh pria pria yg tepat tingal bagaimana kelak nada berbakti ke sosok pria pria tersebut btw pilihan lagu yg sangat keren untuk di tampilkan
28,28,28,om ded tahu kasus tukang teh n gus miftah mungkin akan bilang digoblokin miftah membawa berkah moga miftah nambah hati2
29,29,29,yang nolomg bijaksana yg ditolong jg adabnya luar biasa masih ada kata gak eanak takut nyusahin takut ngerepotin beruntung bgt nada mendapatkan kasih sayang dari 2 sosok hebat ini respect aku salfok drtd ama kulitnya nada putih bgt bersih gak pke filter2an bertumbuhlah terus nada indonesia butuh pemudai hebat di masa depan
30,30,30,kayak penyakitnya haein di drakor queen of tears
31,31,31,ditunggu undangan miftah di podcast
32,32,32,siapa yg naroh bakwan di sini
33,33,33,duh ga bisa ngomong alhamdulillah semua saling mendukunh orang baik ketemu orang baiksemoga selalu seperti ini selamanya semoga disayang dan diberkahi allah swt aamiin
34,34,34,aq senang banget lihat iniindahnya klau lihat kebersamaan
35,35,35,aduh 1536 mengandung bawang
36,36,36,sedih gw om ded 
37,37,37,seseru tu d awal mewek d akhir
38,38,38,puji tuhan ya om beben sehat kembali bener2 pertolongan tuhan tiada batas semoga sehat terus om beben 
39,39,39,masya allah semoga berkah bang dedi
40,40,40,bagus jg main muskinya om ben belajar darimana yah
41,41,41,miftah miftah
42,42,42,nah kayak gini loh yang di tolong tau cara berterima kasih
43,43,43,alm ayahku juga tumor otak 3 kali operasi operasi ke 3 meninggal
44,44,44,pantaskah gus miftah dipanggil gus menjadi guru ga pantes
