,Unnamed: 0,comment
0,0,"omm Ded, nikahin saja Azka dgn Nada... Slesai bola2..."
1,1,Semoga kita semua d jauhkan di berikan kesehatan. Aamiin ya Rabbal Alamiin
2,2,Nada makin cantik makin fres dgn tampilan skrg❤
3,3,"Masha Allah,, nada punya ayah dan papah yg kerennnn 😇😇😇"
4,4,"jadi sedih n nangis banyak harapan n makna ny..
sehat slalu,Tuhan memberkati"
5,5,Senang liat nya
6,6,Udh siap dnger nyanyi malahh sjsyshsysjwnsysywubwujw ladida ladida jshsgsyshsu😂
7,7,"Alhamdulillah ,Nada di adopsi sama orang baik hati ,tegas,dermawan,berpandangan luas ,berakhlak baik,semoga sukses,berkah ,bahagia dunia akhirat semuanya.Aamiin....❤"
8,8,Sehat terus om beben...
9,9,Share 🙏🏻🙏🏻🇮🇩🇮🇩
10,10,Pengalaman. Waktu itu adik aku malam nya kepala terbentur ke tanah krn terjatuh sampai dia pusing & mual sampai muntah2.. pas pagi2 nya setelah bangun sari tidur dia lupa kejadian semalam kalau kepalanya terbentur dan muntah2
11,11,Allah maha baik memberikan  yang  terbaik  buat  hamba-Nya. Hanya untuk  orang-orang  yang bisa  bersyukur dan  berfikir
12,12,Ada ga si yang salting sama ke-protektif-an azka dg nada? Aaaaa😂
13,13,Seneng nontonnya
14,14,"wah masyaAllah bgt ayahnya nada bukan org yg aji mumpung.. keren bgtt :"""""""""") semoga diberikan kesehatan, keberkahan dan kebahagiaan terus ayahnya nadaaa.."
15,15,"om ded sama densu kayanya akhir2 ini datengin orang2 yg penerima donasi tapi paham adab dan moral ya... sengaja buat menyindir kah? 🤭
meski ini soal common sense aja dan harusnya orang waras yg berakal jg paham, semoga jadi edukasi jg bagi kita semua bahwa selayaknya kita jg harus tau bagaimana menempatkan diri kalau kita menerima bantuan dr orang lain"
16,16,Alhamdulilah nada beruntung di angkat anak sama om ded
17,17,"Beruntung sekali kamu nada, punya ayah sama papa, sepanajng potcas nangis ingat alm bapak😭😭😭"
18,18,Podcast terbaik.. 😭😭 selamat dunia akhirat.. ❤❤
19,19,Orang2 hebat semua❤
20,20,Bahagianya Nada punya 2 orang ayah yg baik dan tau bersyukur...
21,21,Waaah senengnya jd Nada punya ayah n papa yg sangat baik🎉🎉🎉
22,22,pasti nama ayahnya nada bukan agus
23,23,Undang tukang es yg viral dong
24,24,kereeen bgd sama keluarga ini masya Allah
25,25,"Mirip, wajah nada dg ayah kandungnya..😊"
26,26,"masya alloh,sesayang itu azka ke nada❤ itu berkat didikan om dedy"
